action_type,action_code,abbreviation,communities,consumer_tags_AML,consumer_tags_Finance,consumer_tags_Regulatory,date_range_function,header_information_header_support,header_information_no_header_column,parents,pii_information_csv_column_encryption,pii_information_decrypt_method,pii_information_encryption_support,query_reference_database_name,query_reference_query,query_reference_query_version,report_file_name_pattern,report_name,schedule_crontab,schedule_timezone,start_date,_row_index,dataset,source_system
REPORT,retail_recap_all_report,RRAR,,False,True,True,get_current_date_6am,PdfHeader(),False,retail_recap_sports_aggregate,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_All_Recap.sql,v2.6.1_1.9_1.0,AZ/Retail_Recap_Daily_All/{ed_year}/{ed_month}/{ed_day}/sports-pool-retail-report-recap-all-daily-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Recap Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,29,,
SENSOR,retail_recap_sports_aggregate,RRSAS,,,,,get_current_date_6am,,,,,,,SDP,"SELECT exists (SELECT 1 FROM   SDP.RETAIL_MART.RETAIL_RECAP_SPORTS_AGGREGATE S JOIN SDP.CORE.DOMAIN D ON D.DOMAIN_ID=S.DOMAIN_ID WHERE  domain_code = '{{ DomainCd }}' and   report_date >= dateadd(day,-1,'{{ To_date }}'::date) );",,,,5 17 * * *,Etc/UTC,,30,retail_recap_sports_aggregate,BE
REPORT,retail_recap_all_report_month_to_date,RRARMTD,,False,True,True,get_current_month_to_date_6am,PdfHeader(),False,retail_recap_all_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Monthly/RPT_Retail_All_Recap_MTD.sql,v2.6.1_1.9_1.0,AZ/Retail_Recap_All_Month_To_Date/{ed_year}/{ed_month}/{ed_day}/sports-pool-retail-recap-all-report-month-to-date-{fd_year}-{fd_month}-{fd_day}-to-{ed_year}-{ed_month}-{ed_day}.csv,Retail Sports Pool Recap Report Month To Date,35 17 * * *,Etc/UTC,2024-11-29 15:35:00,31,,
REPORT,retail_recap_all_report_year_to_date,RRARYTD,,False,True,False,get_current_year_to_date_6am,PdfHeader(),False,retail_recap_all_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Monthly/RPT_Retail_All_Recap_MTD.sql,v2.6.1_1.9_1.0,AZ/Retail_Recap_All_Year_To_Date/{ed_year}/{ed_month}/{ed_day}/sports-pool-retail-recap-all-report-year-to-date-{fd_year}-{fd_month}-{fd_day}-to-{ed_year}-{ed_month}-{ed_day}.csv,Retail Sports Pool Recap Report Year To Date,35 17 * * *,Etc/UTC,2025-01-01 15:35:00,32,,
REPORT,retail_recap_report_month_to_date,RRRMTD,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,True,get_current_month_to_date_6am,PdfHeader(),False,retail_recap_all_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Monthly/RPT_Retail_Recap_MTD_per community.sql,v2.6.1_1.9_1.0,AZ/Retail_Recap_Month_To_Date_Per_Community/{ed_year}/{ed_month}/{ed_day}/sports-pool-retail-recap-report-{community}-month-to-date-{fd_year}-{fd_month}-{fd_day}-to-{ed_year}-{ed_month}-{ed_day}-{ed_year}.csv,Retail Sports Pool Recap Report Month To Date,35 17 * * *,Etc/UTC,2024-11-29 15:35:00,33,,
REPORT,retail_recap_report_per_community_year_to_date,RRRPCYTD,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_year_to_date_6am,PdfHeader(),False,retail_recap_all_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Monthly/RPT_Retail_Recap_MTD_per community.sql,v2.6.1_1.9_1.0,AZ/Retail_Recap_Per_Community_Year_To_Date/{ed_year}/{ed_month}/{ed_day}/sports-pool-retail-recap-report-{community}-year-to-date-{fd_year}-{fd_month}-{fd_day}-to-{ed_year}-{ed_month}-{ed_day}.csv,Retail Sports Pool Recap Report Per Community Year To Date,35 17 * * *,Etc/UTC,2025-01-01 15:35:00,34,,
REPORT,retail_recap_report_per_community,RRRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,True,get_current_date_6am,PdfHeader(),False,retail_recap_all_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Recap_Daily_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Retail_Recap_Daily_Per_Community/{ed_year}/{ed_month}/{ed_day}/sports-pool-retail-recap-report-{community}-daily-{ed_month}-{ed_day}-{ed_year}.csv,Retail Recap Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,35,,
REPORT,retail_sports_pool_cancelled_ticket_report,RSPCTR,,False,True,False,get_current_date_6am,PdfHeader(),False,retail_recap_bets,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Cancelled_Ticket.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Cancelled_Ticket/{ed_year}/{ed_month}/{ed_day}/retail-sports-pool-cancelled-ticket-report-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Cancelled Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,36,,
SENSOR,retail_recap_bets,RRBS,,,,,get_current_date_6am,,,,,,,SDP,"SELECT exists (SELECT 1 FROM   SDP.RETAIL_MART.RETAIL_RECAP_BETS S JOIN SDP.CORE.DOMAIN D ON D.DOMAIN_ID=S.DOMAIN_ID WHERE  domain_code = '{{ DomainCd }}' and   report_date >= dateadd(day,-1,'{{ To_date }}'::date) );",,,,5 17 * * *,Etc/UTC,,37,retail_recap_bets,BE
REPORT,retail_sports_pool_cancelled_ticket_report_per_community,RSPCTRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,CsvHeader(),False,retail_sports_pool_cancelled_ticket_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Cancelled_Ticket_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Cancelled_Ticket_Per_Community/{ed_year}/{ed_month}/{ed_day}/retail-sports-pool-cancelled-ticket-report-{community}-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Cancelled Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,38,,
