action_type,action_code,abbreviation,communities,consumer_tags_AML,consumer_tags_Finance,consumer_tags_Regulatory,date_range_function,header_information_header_support,header_information_no_header_column,parents,pii_information_csv_column_encryption,pii_information_decrypt_method,pii_information_encryption_support,query_reference_database_name,query_reference_query,query_reference_query_version,report_file_name_pattern,report_name,schedule_crontab,schedule_timezone,start_date,_row_index,dataset,source_system
SENSOR,business_activity,BAS,,,,,get_current_date_6am,,,,,,,NJ_Prod,"call ""Audit"".IS_ROSI_INGESTION_COMPLETE('{{DomainCd}}', REPLACE('{{SourceSystemCd}}', '_{{ state }}', ''), '{{ DataSetNm }}' , '{{To_date}}','{{DomainCd}}');",,,,0 16 * * *,Etc/UTC,,59,business_activity,money_management
REPORT,rosi_big_transactions_report_per_community,RBTRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_big_transactions_report_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Big_Transactions_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Big_Transactions_Per_Community/{ed_year}/{ed_month}/{ed_day}/Rosi-Big-Transactions-Report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Big Transactions Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,60,,
REPORT,rosi_bill_denominations_all,RBDA,,False,True,False,get_current_date_6am,PdfHeader(),False,business_activity,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/Rosi_Generic_Reporting/RPT_Rosi_Bill_Denominations_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Bill_Denominations_All/{ed_year}/{ed_month}/{ed_day}/Rosi-Bill-Denominations-Report-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Bill Denominations Report All,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,61,,
REPORT,rosi_bill_denominations_per_community,RBDPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_bill_denominations_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Bill_Denominations_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Bill_Denominations_Per_Community/{ed_year}/{ed_month}/{ed_day}/Rosi-Bill-Denominations-Report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Bill Denominations Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,62,,
REPORT,rosi_cash_balances_all,RCBA,,False,True,False,get_current_date_6am,PdfHeader(),False,"account, accountbalance",,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Cash_Balances_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Cash_Balances_All/{ed_year}/{ed_month}/{ed_day}/Rosi-Cash-Balances-Report-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Cash Balances Report All,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,63,,
SENSOR,account,AS,,,,,get_current_date_6am,,,,,,,NJ_Prod,"SELECT ""Audit"".is_etl_completed('{{ DataSetNm }}',                                 '{{ SourceSystemCd }}',                                 '{{ To_date }}') as is_completed;",,,,0 16 * * *,Etc/UTC,,64,account,ROSI
SENSOR,accountbalance,ASC,,,,,get_current_date_6am,,,,,,,NJ_Prod,"SELECT ""Audit"".is_etl_completed('{{ DataSetNm }}',                                 '{{ SourceSystemCd }}',                                 '{{ To_date }}') as is_completed;",,,,0 16 * * *,Etc/UTC,,65,accountbalance,ROSI
REPORT,rosi_cash_balances_per_community,RCBPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_cash_balances_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Cash_Balances_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Cash_Balances_Per_Community/{ed_year}/{ed_month}/{ed_day}/Rosi-Cash-Balances-Report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Cash Balances Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,66,,
REPORT,rosi_daily_transactions_report_all,RDTRA,,False,True,False,get_current_date_6am,PdfHeader(),False,"account, businessactivity",,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Daily_Transactions_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Daily_Transactions_All/{ed_year}/{ed_month}/{ed_day}/Rosi-Daily-Transactions-Report-All-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Daily Transactions Report All,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,67,,
SENSOR,businessactivity,BSU,,,,,get_current_date_6am,,,,,,,NJ_Prod,"SELECT ""Audit"".is_etl_completed('{{ DataSetNm }}',                                 '{{ SourceSystemCd }}',                                 '{{ To_date }}') as is_completed;",,,,0 16 * * *,Etc/UTC,,68,businessactivity,ROSI
REPORT,rosi_daily_transactions_report_per_community,RDTRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_daily_transactions_report_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Daily_Transactions_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Daily_Transactions_Per_Community/{ed_year}/{ed_month}/{ed_day}/rosi-daily-transactions-report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Daily Transactions Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,69,,
REPORT,rosi_electronic_accounting_report_all,REARA,,False,True,False,get_current_date_6am,PdfHeader(),False,business_activity,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/Rosi_Generic_Reporting/RPT_Electronic_Accounting_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Electronic_Accounting_All/{ed_year}/{ed_month}/{ed_day}/Rosi-Electronic-Accounting-Report-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Electronic Accounting Report All,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,70,,
REPORT,rosi_electronic_accounting_report_per_community,REARPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_electronic_accounting_report_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Electronic_Accounting_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Electronic_Accounting_Per_Community/{ed_year}/{ed_month}/{ed_day}/Rosi-Electronic-Accounting-Report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Electronic Accounting Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,71,,
REPORT,rosi_irs_paids_all,RIPA,,False,True,False,get_current_date_6am,PdfHeader(),False,"activity_tax, activity_tax_line, business_activity",,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/Rosi_Generic_Reporting/RPT_Rosi_IRS_Paids_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_IRS_Paids_All/{ed_year}/{ed_month}/{ed_day}/Rosi-IRS-Paids-Report-All-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Irs Paids Report,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,72,,
SENSOR,activity_tax,ATS,,,,,get_current_date_6am,,,,,,,NJ_Prod,"call ""Audit"".IS_ROSI_INGESTION_COMPLETE('{{DomainCd}}', REPLACE('{{SourceSystemCd}}', '_{{ state }}', ''), '{{ DataSetNm }}' , '{{To_date}}','{{DomainCd}}');",,,,0 16 * * *,Etc/UTC,,73,activity_tax,money_management
SENSOR,activity_tax_line,ATLS,,,,,get_current_date_6am,,,,,,,NJ_Prod,"call ""Audit"".IS_ROSI_INGESTION_COMPLETE('{{DomainCd}}', REPLACE('{{SourceSystemCd}}', '_{{ state }}', ''), '{{ DataSetNm }}' , '{{To_date}}','{{DomainCd}}');",,,,0 16 * * *,Etc/UTC,,74,activity_tax_line,money_management
REPORT,rosi_irs_paids_per_community,RIPPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_irs_paids_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_IRS_Paids_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_IRS_Paids_Per_Community/{ed_year}/{ed_month}/{ed_day}/Rosi-IRS-Paids-Report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Irs Paids Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,75,,
REPORT,rosi_irs_paids_report_month_to_date,RIPRMTD,,False,True,False,get_current_month_to_date_6am,PdfHeader(),False,rosi_irs_paids_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_IRS_Paids_MTD_YTD.sql,v2020.03.206459.0,AZ/Rosi_IRS_Paids_All_Month_To_Date/{ed_year}/{ed_month}/{ed_day}/Rosi-IRS-Paids-Report-All-MTD-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Irs Paids Month To Date Report,30 16 * * *,Etc/UTC,2024-12-01 15:30:00,76,,
REPORT,rosi_irs_paids_report_year_to_date,RIPRYTD,,False,True,False,get_current_year_to_date_6am,PdfHeader(),False,rosi_irs_paids_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_IRS_Paids_MTD_YTD.sql,v2020.03.206459.0,AZ/Rosi_IRS_Paids_All_Year_To_Date/{ed_year}/{ed_month}/{ed_day}/Rosi-IRS-Paids-Report-All-YTD-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Irs Paids Year To Date Report,30 16 * * *,Etc/UTC,2024-12-01 15:30:00,77,,
REPORT,rosi_patron_kiosk_activity_report_per_community,RPKARPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,CsvHeader(),False,"player, businessactivity",,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Patron_Kiosk_Activity_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Patron_Kiosk_Activity_Per_Community/{ed_year}/{ed_month}/{ed_day}/Rosi-Patron-Kiosk-Activity-Report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Patron Kiosk Activity Report,0 16 * * *,Etc/UTC,2024-08-26 14:00:00,78,,
SENSOR,player,PS,,,,,get_current_date_6am,,,,,,,NJ_Prod,"SELECT ""Audit"".is_etl_completed('{{ DataSetNm }}',                                 '{{ SourceSystemCd }}',                                 '{{ To_date }}') as is_completed;",,,,0 16 * * *,Etc/UTC,,79,player,ROSI
REPORT,rosi_teller_balance_by_cage_report_all,RTBBCRA,,False,True,False,get_current_date_6am,PdfHeader(),False,"business_activity, account, account_balance, running_account_balance",,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/Rosi_Generic_Reporting/RPT_Rosi_Teller_Balance_By_Cage_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Teller_Balance_By_Cage_All/{ed_year}/{ed_month}/{ed_day}/Rosi-Teller-Balance-By-Cage-Report-All-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Teller Balance By Cage Report All,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,80,,
SENSOR,account_balance,ABS,,,,,get_current_date_6am,,,,,,,NJ_Prod,"call ""Audit"".IS_ROSI_INGESTION_COMPLETE('{{DomainCd}}', REPLACE('{{SourceSystemCd}}', '_{{ state }}', ''), '{{ DataSetNm }}' , '{{To_date}}','{{DomainCd}}');",,,,0 16 * * *,Etc/UTC,,81,account_balance,money_management
SENSOR,running_account_balance,RABS,,,,,get_current_date_6am,,,,,,,NJ_Prod,"call ""Audit"".IS_ROSI_INGESTION_COMPLETE('{{DomainCd}}', REPLACE('{{SourceSystemCd}}', '_{{ state }}', ''), '{{ DataSetNm }}' , '{{To_date}}','{{DomainCd}}');",,,,0 16 * * *,Etc/UTC,,82,running_account_balance,money_management
REPORT,rosi_teller_balance_by_cage_report_per_community,RTBBCRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_teller_balance_by_cage_report_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Teller_Balance_By_Cage_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Teller_Balance_By_Cage_Per_Community/{ed_year}/{ed_month}/{ed_day}/Rosi-Teller-Balance-By-Cage-Report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Teller Balance By Cage Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,83,,
REPORT,rosi_teller_balance_by_kiosk_report_all,RTBBKRA,,False,True,False,get_current_date_6am,PdfHeader(),False,business_activity,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/Rosi_Generic_Reporting/RPT_Rosi_Teller_Balance_By_Kiosk_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Teller_Balance_By_Kiosk_All/{ed_year}/{ed_month}/{ed_day}/Rosi-Teller-Balance-By-Kiosk-Report-All-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Teller Balance By Kiosk Report All,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,84,,
REPORT,rosi_teller_balance_by_kiosk_report_per_community,RTBBKRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_teller_balance_by_kiosk_report_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Teller_Balance_By_Kiosk_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Teller_Balance_By_Kiosk_Per_Community/{ed_year}/{ed_month}/{ed_day}/Rosi-Teller-Balance-By-Kiosk-Report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Teller Balance By Kiosk Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,85,,
REPORT,rosi_teller_balance_report_all,RTBRA,,False,True,False,get_current_date_6am,PdfHeader(),False,"business_activity, account, account_balance, running_account_balance",,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/Rosi_Generic_Reporting/RPT_Rosi_Teller_Balance_All.sql,v2.6.1_1.9_1.0,AZ/Report-Rosi-Teller-Balance-Report-All/{ed_year}/{ed_month}/{ed_day}/Rosi-Teller-Balance-Report-All-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Teller Balance Report All,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,86,,
REPORT,rosi_teller_balance_report_per_community,RTBRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_teller_balance_report_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Teller_Balance_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Teller_Balance_Per_Community/{ed_year}/{ed_month}/{ed_day}/Rosi-Teller-Balance-Report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Teller Balance Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,87,,
REPORT,rosi_voucher_weekly_all,RVWA,,False,True,False,get_current_week_6am,PdfHeader(),False,"voucher, businessactivity",,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Voucher_Weekly_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Voucher_Weekly_All/{ed_year}/{ed_month}/{ed_day}/Rosi-Voucher-Weekly-Report-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Voucher Weekly Report All,0 15 * * 1,Etc/UTC,2024-12-13 15:00:00,88,,
SENSOR,voucher,VS,,,,,get_current_week_6am,,,,,,,NJ_Prod,"SELECT ""Audit"".is_etl_completed('{{ DataSetNm }}',                                 '{{ SourceSystemCd }}',                                 '{{ To_date }}') as is_completed;",,,,0 15 * * 1,Etc/UTC,,89,voucher,ROSI
REPORT,rosi_voucher_weekly_per_community,RVWPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_week_6am,PdfHeader(),False,rosi_voucher_weekly_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Voucher_Weekly_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Voucher_Weekly_Per_Community/{ed_year}/{ed_month}/{ed_day}/Rosi-Voucher-Weekly-Report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Rosi Voucher Weekly Report,15 15 * * 1,Etc/UTC,2024-08-26 15:15:00,90,,
REPORT,rosi_vouchers_created_all,RVCA,,False,True,False,get_current_date_6am,PdfHeader(),False,"business_activity, voucher",,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/Rosi_Generic_Reporting/RPT_Rosi_Vouchers_Created_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Vouchers_Created_All/{ed_year}/{ed_month}/{ed_day}/rosi-vouchers-created-report-All-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Vouchers Created Report All,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,91,,
REPORT,rosi_vouchers_created_per_community,RVCPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_vouchers_created_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Vouchers_Created_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Vouchers_Created_Per_Community/{ed_year}/{ed_month}/{ed_day}/rosi-vouchers-created-report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Vouchers Created Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,92,,
REPORT,rosi_vouchers_expired_all,RVEA,,False,True,False,get_current_date_6am,PdfHeader(),False,"business_activity, voucher",,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/Rosi_Generic_Reporting/RPT_Rosi_Vouchers_Expired_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Vouchers_Expired_All/{ed_year}/{ed_month}/{ed_day}/rosi-vouchers-expired-report-All-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Vouchers Expired Report All,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,93,,
REPORT,rosi_vouchers_expired_per_community,RVEPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_vouchers_expired_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Vouchers_Expired_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Vouchers_Expired_Per_Community/{ed_year}/{ed_month}/{ed_day}/rosi-vouchers-expired-report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Vouchers Expired Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,94,,
REPORT,rosi_vouchers_paidout_all,RVPA,,False,True,False,get_current_date_6am,PdfHeader(),False,"business_activity, voucher",,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/Rosi_Generic_Reporting/RPT_Rosi_Vouchers_PaidOut_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Vouchers_PaidOut_All/{ed_year}/{ed_month}/{ed_day}/rosi-vouchers-paidout-report-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Vouchers Paidout Report All,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,95,,
REPORT,rosi_vouchers_paidout_per_community,RVPPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_vouchers_paidout_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Vouchers_PaidOut_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Vouchers_PaidOut_Per_Community/{ed_year}/{ed_month}/{ed_day}/rosi-vouchers-paidout-report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Vouchers Paidout Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,96,,
REPORT,rosi_vouchers_unpaid_all,RVUA,,False,True,False,get_current_date_6am,PdfHeader(),False,"business_activity, voucher, voucher_audit",,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/Rosi_Generic_Reporting/RPT_Rosi_Vouchers_Unpaid_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Vouchers_Unpaid_All/{ed_year}/{ed_month}/{ed_day}/rosi-vouchers-unpaid-report-All-AZ-{ed_month}-{ed_day}-{ed_year}.csv,Vouchers Unpaid Report All,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,97,,
SENSOR,voucher_audit,VAS,,,,,get_current_date_6am,,,,,,,NJ_Prod,"call ""Audit"".IS_ROSI_INGESTION_COMPLETE('{{DomainCd}}', REPLACE('{{SourceSystemCd}}', '_{{ state }}', ''), '{{ DataSetNm }}' , '{{To_date}}','{{DomainCd}}');",,,,0 16 * * *,Etc/UTC,,98,voucher_audit,money_management
REPORT,rosi_vouchers_unpaid_per_community,RVUPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,rosi_vouchers_unpaid_all,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/RPT_Rosi_Vouchers_Unpaid_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Rosi_Vouchers_Unpaid_Per_Community/{ed_year}/{ed_month}/{ed_day}/rosi-vouchers-unpaid-report-{community}-{ed_month}-{ed_day}-{ed_year}.csv,Vouchers Unpaid Report,15 17 * * *,Etc/UTC,2024-08-26 15:15:00,99,,
REPORT,sports_pool_cancelled_ticket_report_bop,SPCTRB,,False,True,False,get_current_date_6am,PdfHeader(),False,generic_reporting.az_004.recon_check,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BE/Daily/RPT_06_Sports_Pool_Cancelled_Report.sql,v2.6.1_1.9_1.0,AZ/Sports_Pool_Cancelled_Ticket/{ed_year}/{ed_month}/{ed_day}/sports-pool-cancelled-ticket-report-{fd_year}-{fd_month}-{fd_day}.csv,Sports Pool Cancelled Report,5 17 * * *,Etc/UTC,2025-03-01 15:05:00,100,,
REPORT,sports_pool_digital_recap_report_bop,SPDRRB,,False,True,False,get_current_date_6am,PdfHeader(),False,generic_reporting.az_004.recon_check,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BE/Daily/RPT_04_Digital_Daily_Recap_Report.sql,v2.6.1_1.9_1.0,AZ/Sports_Pool_Digital_Recap/{ed_year}/{ed_month}/{ed_day}/sports-pool-digital-recap-report-{fd_year}-{fd_month}-{fd_day}.csv,Sports Pool Digital Recap Report,5 17 * * *,Etc/UTC,2025-03-01 15:05:00,101,,
REPORT,sports_pool_digital_recap_report_month_to_date_bop,SPDRRMTDB,,False,True,False,get_current_month_to_date_6am,PdfHeader(),False,sports_pool_digital_recap_report_bop,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BE/Monthly/RPT_04_Digital_Daily_Recap_Report_MTD.sql,v2.6.1_1.9_1.0,AZ/Sports_Pool_Digital_Recap_Month_To_Date/{ed_year}/{ed_month}/{ed_day}/sports-pool-digital-recap-report-month-to-date-{fd_year}-{fd_month}-{fd_day}-to-{ed_year}-{ed_month}-{ed_day}.csv,Sports Pool Digital Recap Report Month To Date,35 17 * * *,Etc/UTC,2025-03-01 15:35:00,102,,
REPORT,sports_pool_digital_recap_report_month_to_date_per_community_bop,SPDRRMTDPCB,"Default_and_William_Hill_Mobile_(AZ), Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_month_to_date_6am,PdfHeader(),False,sports_pool_digital_recap_report_bop,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BE/Monthly/RPT_04_DIGITAL_RECAP_REPORT_MTD_PER_COMMUNITY.sql,v2.6.1_1.9_1.0,AZ/Sports_Pool_Digital_Recap_Month_To_Date_Per_Community/{ed_year}/{ed_month}/{ed_day}/sports-pool-digital-recap-report-{community}-month-to-date-{fd_year}-{fd_month}-{fd_day}-to-{ed_year}-{ed_month}-{ed_day}.csv,Sports Pool Digital Recap Report Month To Date,35 17 * * *,Etc/UTC,2025-03-01 15:35:00,103,,
REPORT,sports_pool_event_results_report,SPERR,,False,True,False,get_current_date_6am,CsvHeader(),False,generic_reporting.az_004.recon_check,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Reports_SportBonus/RPT_01_Sport_Pool_Event_Results_Report_AZ.sql,v2019.12.186777.0,AZ/Sports_Pool_Events_Results/{ed_year}/{ed_month}/{ed_day}/sports-pool-events-results-report-all-{fd_year}-{fd_month}-{fd_day}.csv,Sports Pool Event Results Report,45 17 * * *,Etc/UTC,2024-11-29 15:05:00,104,,
REPORT,sports_pool_resettlement_report_bop,SPRRB,,False,True,False,get_current_date_6am,PdfHeader(),False,generic_reporting.az_004.recon_check,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BE/Daily/RPT_08_SP_RESETTLEMENT.sql,v2.6.1_1.9_1.0,AZ/Sports_Pool_Resettlement_Ticket/{ed_year}/{ed_month}/{ed_day}/sports-pool-resettlement-ticket-report-{fd_year}-{fd_month}-{fd_day}.csv,Sports Pool Resettlement Report,5 17 * * *,Etc/UTC,2025-03-01 15:05:00,105,,
REPORT,sports_pool_resettlement_report_bop_month_to_date,SPRRBMTD,,False,True,False,get_current_month_to_date_6am,PdfHeader(),False,sports_pool_resettlement_report_bop,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BE/Daily/RPT_08_SP_RESETTLEMENT.sql,v2.6.1_1.9_1.0,AZ/Sports_Pool_Resettlement_Ticket_Month_To_Date/{ed_year}/{ed_month}/{ed_day}/sports-pool-resettlement-ticket-month-to-date-report-{fd_year}-{fd_month}-{fd_day}-to-{ed_year}-{ed_month}-{ed_day}.csv,Sports Pool Resettlement Month To Date Report,5 17 * * *,Etc/UTC,2025-03-01 15:05:00,106,,
REPORT,sports_pool_resettlement_report_bop_year_to_date,SPRRBYTD,,False,True,False,get_current_year_to_date_6am,PdfHeader(),False,sports_pool_resettlement_report_bop,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BE/Daily/RPT_08_SP_RESETTLEMENT.sql,v2.6.1_1.9_1.0,AZ/Sports_Pool_Resettlement_Ticket_Year_To_Date/{ed_year}/{ed_month}/{ed_day}/sports-pool-resettlement-ticket-year-to-date-report-{fd_year}-{fd_month}-{fd_day}-to-{ed_year}-{ed_month}-{ed_day}.csv,Sports Pool Resettlement Year To Date Report,5 17 * * *,Etc/UTC,2025-03-01 15:05:00,107,,
REPORT,sports_pool_results_report_bop,SPRRBP,,False,True,False,get_current_date_6am,PdfHeader(),False,generic_reporting.az_004.recon_check,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BE/Daily/RPT_11_RESULTS_REPORT_SPORT.sql,v2.6.1_1.9_1.0,AZ/Sports_Pool_Results/{ed_year}/{ed_month}/{ed_day}/sports-pool-results-ticket-report-{fd_year}-{fd_month}-{fd_day}.csv,Sports Pool Results Report,5 17 * * *,Etc/UTC,2025-03-01 15:05:00,108,,
